,cr,CrType,Sentiment,Knowledge,UltimateCategory
5150,这个广播不需要权限的?,1,0,0,4
5151,"这2个抽取个基类，不要这里合并了，后面又switch case...
何必",1,0,0,4
5152,这个动作有没有做并发和大量重复触发的保护?,1,0,0,4
5153,代码里面的sql不要用*，不规范,1,1,1,0
5154,分屏数量会不对，因为后面不刷新了,1,0,0,4
5155,直接调用一个函数就行了，为啥要分开？,1,0,0,4
5156,这个时机不对,1,0,0,4
5157,这一行过后是否还需要继续走下去?,1,0,0,4
5158,也加一个,1,1,0,1
5159,入参校验最好放到最外层，校验成功再进行下面的逻辑,1,1,0,1
5160,主线简化写法，不一样的仅仅是setViewMargin的第3个参数，其他的都重复，造成整体不易阅读,1,0,0,4
5161,传入了e还是会打印堆栈,1,0,0,4
5162,传入了e还是会打印堆栈,1,0,0,4
5163,删除i18n需要加scene,1,1,0,1
5164,这个阶段不要用IR入库了，测试需要明确修改点进行测试,1,1,0,1
5165,有没有可能为null,1,0,0,4
5166,版本号不对，主线修改,1,1,0,1
5167,这个地方可以break吧，减少for的循环次数；,1,1,0,1
5168,可以不需要new一个ArrayList。函数入参可以直接是List<String>，或者argTypes直接定义为ArrayList；,1,1,0,1
5169,拼写错误,1,0,0,4
5170,这个class不是加在这里的，需要加在控件中,1,1,0,1
5171,未初始化的变量默认就是null,1,0,1,2
5172,建议这个放到公共utils,1,1,0,1
5173,内部定义要专门一个取值,1,0,0,4
5174,这个应该是在参数校验之后,1,1,0,1
5175,代码中不要使用*,1,0,0,4
5176,传入了e还是会打印堆栈,1,0,0,4
5177,注释和实现含义不一致,1,0,0,4
5178,抽取map...,1,1,0,1
5179,delete it 脚本语言不要添加注释功能的代码,1,0,0,4
5180,注释跟上面代码直接增加1个空行,1,1,0,1
5181,异常处理，日志改成w或e，需要return,1,1,0,1
5182,调用多余,1,0,0,4
5183,不需要自己写，系统具备该能力,1,1,0,1
5184,这里的db脚本没有用，绕了一圈回到了原点,1,0,0,4
5185,每个tab对应一个SwipeRefreshHandler，而SwipeRefreshHandler里面动态生成一个SwipeRefreshLayout。从名站点点进去前就已经setSwipeRefreshHandlerEnable: true，而另外两个场景是在网页加载完成会调用setSwipeRefreshHandlerEnable: true，所以在点击名站点时候应当禁止掉刷新功能，恢复刷新会在页面加载完成会setSwipeRefreshHandlerEnable: true。,1,1,0,1
5186,最好能打印出来dmq消息ID,1,0,0,4
5187,日志,1,0,0,4
5188,"info 与 getSignInfo()会不会为null，空指针
下面代码也有，注意检查下",1,0,0,4
5189,db代码里不要用*，把所有字段给写一下,1,0,1,2
5190,最好能打印出来对应的dmq消息ID,1,0,0,4
5191,getVersionFromSp就可以直接返回response,1,0,0,4
5192,表名取正式一点吧，比如带temp，升级脚本也是一样的，表名存储过程名，取的都太随便了，无规范可言,1,0,0,4
5193,这个长度要和后台确认好，不能超过后台的限制,1,1,0,1
5194,还有有传入e，会把堆栈打印出来的,1,0,0,4
5195,这是啥,1,0,0,4
5196,这个实现由经过确认吗？下单成功，支付失败，优惠券没有了，符合用户体验吗？,1,0,0,4
5197,这个方法会被循环调用，此处打印日志存在循环打印日志问题,1,0,0,4
5198,条件提到前面去,1,0,0,4
5199,颜色不要写死，引用color定义，主线优化,1,1,1,0
5200,onStop的功能不单一，拆分一下,1,0,0,4
5201,"用法错误, 毫无用处",0,0,0,7
5202,需要删除,1,1,0,1
5203,这个是隐藏啥,1,0,0,4
5204,建议这个地方可以记录一下删除了什么时间之前的哪些交易记录，起到看日志知道流程的作用,1,1,0,1
5205,这个字符串在哪？不是新增的？,1,0,0,4
5206,这个点不对,1,0,0,4
5207,这个地方没有修改,1,0,0,4
5208,"containsKey的判断多于，下面get()之后判空了，而且为空都是put(key, data)。去掉containsKey的判断不影响逻辑，减少全复杂度",1,1,0,1
5209,在if中setEnable为false，没有对应的setEnable为true。,1,0,0,4
5210,两个方法冗余,1,0,0,4
5211,小写字母加横杠,1,1,0,1
5212,使用自动映射一次数据库操作不是就可以完成吗,1,0,0,4
5213,这个直接用 A_CodeSnippet就可以了,1,1,0,1
5214,建议用一行日志打印具体删除了哪些活动ID的数据，没有删除的数据，活动Id就为空,1,1,0,1
5215,代码冲突请处理,1,1,0,1
5216,建议先获取文件的下载路径再执行下载，分两步实现,1,1,0,1
5217,日志改下,1,0,0,4
5218,点后面空格转义了， 应该不需要，参照之前的hmspush_term_content2里的,1,0,0,4
5219,这个点不对,1,0,0,4
5220,下次提交统一使用国际化,1,1,0,1
5221,有效期确认是一年么？,1,0,0,4
5222,这个是通用错误码，不是只有版权保护用。,1,0,0,4
5223,采用if return的方式排除异常场景，并记录日志,1,0,1,2
5224,是否可以滑动，写到构造函数里,1,1,0,1
5225,自定义布局，需要加到dexguard.pro文件中,1,0,0,4
5226,错误码记录下,1,0,0,4
5227,这个内容是这么填么？和SE是否确认。,1,1,0,1
5228,命名不合适，定义到接口定义里去,1,1,0,1
5229,这里的Toast提示不能去掉，否则会导致其他的sp相关判断失败的情况下没有toast提示,1,1,0,1
5230,不要使用延时，考虑下sp的commit操作,1,1,0,1
5231,还有这个,1,0,0,4
5232,这个点与上面的点不一致，请统一修改,1,1,0,1
5233,条件不成立，不添加到mCacheMap的时候，最好加个日志，好定位问题,1,1,0,1
5234,为什么要先判断一下? 直接remove不行吗?,1,1,0,1
5235,定义常量,1,1,0,1
5236,position = mDataSource.size() 会存在数组越界；下个文件也是同样问题,1,0,0,4
5237,这个点格式不对，与其他不同,1,0,0,4
5238,"hmspush_query_fail_click_retry,hmspush_no_network_error,hmspush_no_network_settings 被覆盖了，补回",1,1,0,1
5239,切到活动基本信息修改页面，会偶现项目没有初始值的情况，若该问题未解决会导致活动连正常的修改都做不了,1,0,0,4
5240,主线优化一下，改成getDimensionPixelSize 此方法返回的是int值,1,1,0,1
5241,嗯，这条后续修改下,1,1,0,1
5242,不要打印堆栈,1,1,0,1
5243,不使用的变量需要删除,1,1,0,1
5244,判空,1,0,0,4
5245,可以使用自动映射，没有必要先查classname在通过classname去查询对应列表吧,1,1,0,1
5246,加注释，说明为什么传入的是空值,1,1,0,1
5247,上库代码不要出现log,1,1,0,1
5248,用工具类,1,1,1,0
5249,建议import对应类，不要在代码中写这么长的类的路径。,1,1,0,1
5250,日志打印也应把入参打印出来,1,1,0,1
5251,同前面,1,0,0,4
5252,外部需要清除缓存，此处不需要保存记录，再综合考虑下整个方案,1,1,0,1
5253,加注释，注明为什么可以用空值,1,1,0,1
5254,可以用for each,1,1,0,1
5255,不需要加@Valid,1,1,0,1
5256,getVodBriefInfo返回的结果，其他地方都做了判空，此处没有，请修改,1,1,0,1
5257,为什么是获取SecretKey？,1,0,0,4
5258,后面优化下，变量不要读取两遍,1,1,0,1
5259,数据库的异常，不要打印具体的error信息，避免疑似安全问题,1,1,0,1
5260,viewType != null的情况调用getCampainViewType没意义,1,0,0,4
5261,补充一下session-memory-key配置,1,1,0,1
5262,这个不需要修改,1,1,0,1
5263,脚本类的注释功能代码需要删掉,1,1,1,0
5264,不建议强制转换，直接1/3,1,1,0,1
5265,"1、这个类为什么要放到Tools中？
2、类的设计不合理，ServiceTermUtil和ServiceTermUtils有什么关联和差异？",1,0,0,4
5266,"改成if (!""0"".equals(result))即可",1,1,0,1
5267,版本开发过程中，代码不要漏提交,1,0,0,4
5268,这个点不对,1,0,0,4
5269,mCallback是外部传入的，使用时需要判null,1,1,0,1
5270,养成加日志的好习惯,1,1,1,0
5271,这个逻辑有冗余,1,0,0,4
5272,原来的false应该用不到了，可以删掉,1,0,0,4
5273,建议将md5和文件location打印出来,1,0,0,4
5274,补上session-memory-key,1,0,0,4
5275,直接判断ctype不就行了么？为啥还要判断是否置顶？,0,1,0,5
5276,"这个地方dpan是设备卡号，最好扩一个字段uid来存储。
后面如果有其他设备卡，既有dpan又有uid的情况下，就没法搞了。

另外如果，扩了一个字段后，需要考虑字段解析的兼容性。要保证老的ta的json字符解析不出错。",1,1,1,0
5277,隐藏什么,1,0,0,4
5278,这个判断没有意义，其余地方都没有。实际也没有用到这个数据,1,0,0,4
5279,注意这里是否可能发生异常,1,1,0,1
5280,变量名定义不准确，你用了custom，别人再复写用什么,1,0,0,4
5281,前面的点遗漏了,1,0,0,4
5282,日志打明确，是生成密钥失败，不要打异常相关的信息,1,1,0,1
5283,有死锁问题,1,0,0,4
5284,使用CollectionUtils判断集合是否为空,1,1,1,0
5285,判断list为空 要用CollectionUtils.isEmpty,1,1,1,0
5286,考虑是否有必要打印toString，内容会不会太多,1,1,0,1
5287,上传icon时候，判断一下apk是否存在，如果apk不存在，打印日志,1,1,0,1
5288,这个不需要修改,1,1,0,1
5289,判空,1,0,0,4
5290,肤浅,0,0,0,7
5291,这个需要删除,1,1,0,1
5292,你这个是有问题单的，请使用问题单入库,1,1,1,0
5293,mCallback为外部传入，此处需要判null,1,1,0,1
5294,建议使用resource.isEmpty来判断,1,1,0,1
5295,"提前return, 不要写这么深的嵌套",1,1,0,1
5296,响应体的对象与db对象隔离开来,1,1,0,1
5297,"条件过于复杂，很难理解，基于Java编程规范建议:
1. 将复杂条件拆分小条件 每个条件都用有意义的局部变量命名
2. 也缺少日志，出现问题不知道哪个条件导致的，基于1 将变量条件日志打印出来",1,1,1,0
5298,bag命名不符合常用缩写，应该是bg，主线修改,1,1,0,1
5299,怎么有的表记录的是当前时间，有的表记录的是utc时间，请确认,1,1,0,1
5300,这里不做空判断吗,1,1,0,1
5301,此处还需要补充1个isDestroyed()判断,1,1,0,1
5302,命名不合适,1,0,0,4
5303,这个不要提交,1,1,0,1
5304,不需要打印warn的日志；另外这个打印意义不大，应该是和协议类型、版本号、签署结果之类的信息一起打印,1,1,1,0
5305,解压可能遇到../的越级攻击，直接使用安全部的解压方法ZipUtil.unzip，项目有集成，但没用。,1,0,1,2
5306,一般都要10秒以上,1,0,0,4
5307,确定删除无影响,1,0,0,4
5308,测试代码 不能上库,1,1,1,0
5309,这个不需要修改,1,1,0,1
5310,interface中生命常量时不需要显示声明为public static final,1,1,0,1
5311,CloseUtils，其他类似,1,0,0,4
5312,添加日志,1,0,0,4
5313,信息与信息之间需要有分隔符,1,1,0,1
5314,signRecord中有userid，不要打印,1,1,0,1
5315,魔鬼数字,1,0,0,4
5316,其它保存本地时间的地方都要使用本地时间,1,1,1,0
5317,考虑深色主题了吗,1,0,0,4
5318,命名规范,1,0,0,4
5319,用下面已有的Presenter,1,0,0,4
5320,建议统一规划,1,1,0,1
5321,直接去掉吗,1,0,0,4
5322,先读取到内存再校验长度，已经晚了，可能已经OOM了.这里要限制大小,1,1,1,0
5323,魔鬼数字，且确认是0到4还是0到5,1,1,0,1
5324,这是啥,1,0,0,4
5325,请使用tag,1,1,0,1
5326,会产生无用图片,1,0,0,4
5327,判断Map是否为空建议使用Apache工具类,1,1,1,0
5328,这个地方有问题吧，本来同步的逻辑被换成异步了,1,0,0,4
5329,request中设置了result，status中也设置了result是否重复？,1,0,0,4
5330,注释,1,1,0,1
5331,属性不正确，应该是private,1,0,0,4
5332,不要提交这个文件,1,1,0,1
5333,此处怎么还有Exception需要捕获？,1,0,0,4
5334,配置统一放到tomcat下的config下，不要放jar中,1,0,0,4
5335,文件中存在tab,1,0,0,4
5336,url目前都放在资源里的,1,0,0,4
5337,多余,1,0,0,4
5338,命名规则不统一 其他都没加m,1,0,0,4
5339,主线优化，颜色值抽取到colors.xml,1,0,0,4
5340,是否可以在return之前加一个数据库查询，查到的结果直接return？,1,0,0,4
5341,建议用2套布局，代码只区分pad手机加载不同布局。不希望因为这个影响了手机...,1,0,0,4
5342,不需要单独创建类了,1,1,0,1
5343,修改下注释,1,1,0,1
5344,修改为musicSkillDefaultService，否则注入不了,1,1,0,1
5345,日志和实际不符修改，其它地方一并修改,1,1,0,1
5346,这个可以放到basic包里面,1,1,0,1
5347,这一段初始化的意义是什么,1,0,0,4
5348,变量的属性不正确，应该是private，下面还有几处，请一并修改,1,1,0,1
5349,为啥有这个文件，tomcat下config中已经有了。 并且这个文件要和portal共用，不可以提供两份,1,1,0,1
5350,这个地方有必要先判断吗？,1,0,0,4
5351,改一下注释,1,1,0,1
5352,传抽象类型进来,1,1,0,1
5353,代码合错了,1,0,0,4
5354,日志没有覆盖所有打点,1,0,0,4
5355,提交代码 和AR不对应,1,0,0,4
5356,这里设置不设置没关系，外面代码中控制,1,1,0,1
5357,为什么要加上这段初始化,1,0,0,4
5358,异常分支，请打印日志,1,1,1,0
5359,"tab和多余的空格, 不是用Android studio写的吗?",1,0,0,4
5360,reportEsg里，原来调用Esg上报的地方，来源不在这里填了，写死,1,1,0,1
5361,"1、方法名命名不规范，info的i需要大写，而且一般后面的FromAdapter没有必要加。反倒是需要加上查询内容的名称。例如：querySongDetail，后面可以加byCode.
2、只是类内部使用的方法，必须定位为private类型。",1,1,1,0
5362,taskType需要配置校验规则,1,1,0,1
5363,编码规范,1,0,0,4
5364,考虑一下放到拦截器里做,1,1,0,1
5365,打印日志,1,1,0,1
5366,只是类内部使用的方法，必须定义为private类型,1,1,1,0
5367,读文件操作，不要放到app onCreate中,1,1,1,0
5368,缓存异常不是有特定的错误码吗？？？,0,0,0,7
5369,sql里不用两个等号，下面还有3处,1,1,0,1
5370,"!mNeedLastDivider && position != (getItemCount() - 1)
和
 mNeedLastDivider || position != (getItemCount() - 1)
是反的吧，抽取出来",1,1,0,1
5371,此处要加日志，然后后续不应该再开卡。,1,1,0,1
5372,"这个不要改了, 我来改

这里改的不对",1,1,0,1
5373,这是什么213？,0,0,0,7
5374,"com.huawei.browser.ChromeTabbedActivity#finishNativeInitialization

放这个方法里头应该可以把, 感觉这样到处乱设不太合适",1,0,0,4
5375,建议不区分大小写,1,1,0,1
5376,冗余代码,1,0,0,4
5377,异常分支，打印日志。,1,1,1,0
5378,"捕获一下异常
另外代码重复度太高，考虑抽方法",1,1,0,1
5379,应该定义为常量，初始化一边就可以了。,1,1,0,1
5380,改动增加story，注明为什么要改,1,1,0,1
5381,这个地方定义成字符串常量,1,1,0,1
5382,这个js应该没地方用到吧，没用到的话删除。,1,1,0,1
5383,不要使用强转换,1,1,0,1
5384,"编码规范, 其他地方, 不一一指出了",1,0,0,4
5385,"这个为null/empty的时候, 我们也应该要设置吧, 如果是投拼的话",1,1,0,1
5386,编码规范,1,0,0,4
5387,这个地址，不需要带token了吧。,1,1,0,1
5388,这个头，建议用formData带上去，不要放到url中。还有，这个后台是从头中读取的，要及早跟后台沟通修改。,1,1,0,1
5389,异常分支，打印日志，否则在联通环境上很难定位问题。,1,1,0,1
5390,sql里不用两个等号,1,1,1,0
5391,这个功能迭代二再改,1,0,0,4
5392,"方法名与代码逻辑不符合，这个方法中既有从sp中获取逻辑，又有联网获取逻辑,建议修改方法名为obtainSystemInfo",1,0,0,4
5393,加todo吧，好识别,1,1,0,1
5394,建议修改为songbyname,1,1,0,1
5395,这里看下，应该不同带这个header。,1,1,0,1
5396,又算了一遍文件hash，建议直接查数据库即可,1,1,0,1
5397,涉及分屏就得在其他地方再次修改了，这么接近的比例还是别改了,1,1,0,1
5398,dicJsonStr数据量很大，已解析缓存在map中，此处没有必要传到message中,1,1,0,1
5399,obatinSystemInfoFromServer方法中既有从sp中获取字典逻辑，又有从服务器获取逻辑，功能不单一,1,0,0,4
5400,该分支和日志打印没有意义,1,0,0,4
5401,和下面114行合并成一行即可。,1,1,0,1
5402,curPlay是由其它微服务返回的，需要判断是否非空，否则会有空指针异常。空指针异常，是Java十大低级错误之一。,1,1,1,0
5403,"setDisable方法里这些代码复用下试试，减少跨进程调用 A_CodeSnippet严重级别]:一般
[一级分类]:业务功能
[二级分类]:其他问题",1,1,0,1
5404,如果当前播放索引为空，则次上次索引放到播放列表。,1,1,0,1
5405,如果为null，前面的代码不是已经抛Exception了吗,1,0,0,4
5406,此处有线程并发问题,1,0,0,4
5407,箭头可以直接在资源文件中写，不用到这里去增加Java代码,1,1,0,1
5408,需要设置播放模式。,1,1,0,1
5409,"此处不应该设置播放模式。
只根据播放模式构建播放序列即可。",1,1,0,1
5410,先根据appid作判断为信息流，再根据具体的ctype确定类型；如果不带ctype，作为默认信息流处理。,1,1,1,0
5411,这个应该通过ObservableInt类型的绑定,1,1,0,1
5412,空格,1,0,0,4
5413,"改成if (xx == null) { return }, 并补充异常日志",1,1,0,1
5414,单数情况？,1,0,0,4
5415,多余的注释,1,0,0,4
5416,添加到AUDIOPLAYER_STOP后面，同一类的定义尽可能放在一起。,1,1,0,1
5417,单曲循环时要使用当前播放的歌曲的下一首重新构建播放列表,1,1,0,1
5418,"我记得好像只有图集的时候url里面才会带ctype，其他的不会带。
用这个判断是否有问题？",1,0,0,4
5419,先获取index，再判断index>0,1,1,0,1
5420,测试代码,1,0,0,4
5421,不要更改别人的import顺序,1,1,0,1
5422,用错误描述判断？？？,0,0,0,7
5423,单曲循环时要使用当前播放的歌曲的上一首重新构建播放列表,1,1,0,1
5424,这个和mToolboxMenu重复吗？,1,0,0,4
5425,不需要set方法，对UI来说只有get,1,1,0,1
5426,多语言自动适配,1,1,0,1
5427,这个操作应该在setMode时自动触发。,1,1,0,1
5428,多余空格,1,0,0,4
5429,这个后面要补充业务逻辑吧？加个TODO,1,1,0,1
5430,不需要增加此接口,1,1,0,1
5431,高优先级操作括号套起来，不要考验后来人的java基本功,1,0,1,2
5432,没有用到的不要提交,1,1,0,1
5433,"第一个判断已经包括第二个判断，如果想判断是不是null,也应该是先判断是否为null，再判断instanceof",1,1,0,1
5434,空行,1,0,0,4
5435,应该是private的,1,1,0,1
5436,页面跳转尽量仅用Action跳转，且需要指定当前应用包名 避免跳转劫持,1,1,0,1
5437,添加个limit 1000,1,1,0,1
5438,为啥在 load 过程中要从自己里取一下?,1,0,0,4
5439,逻辑不对，上面如果创建不成功，就不应加上version,1,0,0,4
5440,泛型要写上,1,1,0,1
5441,是不是代码格式化和原来PortalONE使用的代码格式化不一致？实际没修改这么多代码吧,1,0,0,4
5442,默认值false，套在最外面,1,1,0,1
5443,这个是什么？你只改中文吗？还是说要重新提交翻译比较好,1,0,0,4
5444,"换1种思维写这部分代码
变量名scene和temp，要能看出这个变量的类型。譬如sceneArray和tempList等",1,1,0,1
5445,多余空格！1,0,0,0,7
5446,错误码使用错误，VFS_ServerError,1,0,0,4
5447,大写TODO:,1,1,0,1
5448,需要看看是否有其他调用的地方，是否有传分页,1,1,0,1
5449,"1. 应该是getItemCount吧
2. getItemCount 应该提前取出来，不要每次调用2
3. 2处代码很类似，抽取下",1,0,0,4
5450,代码重复率高，需要优化,1,0,0,4
5451,UT用例少用mock,1,0,1,2
5452,常量在前,1,0,0,4
5453,"这个分支进不来，在上面已经经过判断了

看错行了，应该没问题",1,0,0,4
5454,有没有深色主题的后患,1,0,0,4
5455,此处finnlay处理冗余,1,0,0,4
5456,最好能够通过键值知道国际化对应的名称。,1,1,0,1
5457,深色主题？,1,0,0,4
5458,需要判空,1,1,0,1
5459,此处直接打印异常栈，请处理异常,1,1,0,1
5460,为什么是e级别的 下面同理,1,0,0,4
5461,格式~,2,0,0,
5462,"1A_CodeSnippet之类的都在初始化里读取好，不要反复读取
2. height在极端情况下可能算出负数，保证一下大于0",1,1,0,1
5463,不明白这个synchronized是要干啥用的?,1,0,0,4
5464,还是个安卓日志,1,0,0,4
5465,不会报空指针吗,1,0,0,4
5466,addFlag,1,0,0,4
5467,需要对mOperation.getProgressModules()判空,1,0,0,4
5468,这个不要每次new，从外面传进来,1,0,0,4
5469,"此处抛异常是正常场景？
下同",1,0,0,4
5470,Feature开发主干，WXApplication已经变更为FastApplication，为了避免以后合代码冲突，建议先同步一下开发主干的代码,1,1,0,1
5471,常量放到Constants,1,0,0,4
5472,注释要随代码一起修改,1,1,1,0
5473,造成很多无用日志,1,0,0,4
5474,最好改成静态工具类,1,0,0,4
5475,不能打印 主键,1,1,0,1
5476,不用写 new RegExp（）,1,1,0,1
5477,此处已经建立了网络连接，其中又再次去获取accesstoken，会对已建立的连接有影响，建议将accesstoken的获取放在Callback外部,1,1,1,0
5478,Looks good to me.,2,0,0,
5479,定义个常量,1,1,0,1
5480,不能打印,1,0,0,4
5481,声明放到for循环里，外面没用到,1,0,0,4
5482,不需要这个吧？,1,0,0,4
5483,请找下SE，确认请求头里面是否可以传accessToken，是否需要备案,1,1,0,1
5484,监听view大小,1,1,0,1
5485,"异常情况下不能不管啊, 要设置一个有意义的默认值",1,1,0,1
5486,格式,1,0,0,4
5487,这个分支进不来，在上面已经经过判断了,1,0,0,4
5488,need to Review,,0,0,
5489,不使用回调，可以直接传空，图片加载模块内部有判断,1,1,1,0
5490,"方法命名和实际代码逻辑不太一致。缺少注释
初始化View状态。",1,1,0,1
5491,建议对已有的方法优化，或者新增新的实现方式后，删除老的代码，不用等后面优化,1,1,0,1
5492,删除上面重复，或者不需要的实现，没有必要留到后面来优化,1,1,0,1
5493,slots.get(i)需要先判空，再使用。,1,1,0,1
5494,上面userid没有赋值，中间调用了其他方法，但是没赋给userid，下面的if判断已失效，这个要改掉,1,1,0,1
5495,这里通过url截取文件名不合适，有些url不带有文件名，而是在http的header中设置文件名,1,0,0,4
5496,这里albumName肯定为空,1,0,0,4
5497,同上,1,0,0,4
5498,为null的情况呢？,1,0,0,4
5499,描述中先把问题单本身的描述先贴上,1,1,0,1
5500,不用判断slots是否为空吗？,1,1,0,1
5501,"sprint boot starter cache 不需要
guava新依赖的包 参考其他的包管理方式，版本号不允许写到这里",1,1,0,1
5502,角标的逻辑不要动，要和A_NAME确认一下试看结束时，有没有停掉角标广告,1,1,0,1
5503,堆栈信息不要打印,1,1,1,0
5504,这个去掉,1,1,0,1
5505,增加session-memory-key配置，保存输入框记录,1,1,0,1
5506,非常不通用，其他界面也会有问题,1,0,0,4
5507,对外不暴露的方法，要声明成私有方法,1,1,0,1
5508,模糊查询的还是加个转义吧啊,1,1,0,1
5509,这个地方定义成常量,1,1,0,1
5510,日志工具类 是否应该用通用,1,0,0,4
5511,"直接改 不用提交翻译吗
如果要提交翻译 是否需要新增字符串",1,0,0,4
5512,如果是对接口的实现，请加上overwrite，这样后面保证在删掉接口，或者实现的时候，保证另外一边也删掉,1,1,0,1
5513,不对外暴露成接口的方法，请声明为private，如果要暴露成接口，请在BS里面声明成接口,1,1,0,1
5514,这个方法用StringUtils.toLowerCase方法,1,1,0,1
5515,上库代码中不要出现console.log打印控制台日志的代码,1,1,1,0
5516,安全扫描不允许用getAbsolutePath()， 要改成getCanonicalPath(),1,1,1,0
5517,存在数据书需要和Appid对应,1,1,1,0
5518,取到值了，为什么不退出循环？,1,1,0,1
5519,instantce 包括的了判空,1,0,0,4
5520,去掉,1,1,0,1
5521,不用判断,1,1,0,1
5522,和下面代码过于相似,1,0,0,4
5523,为什么没写？？？,0,1,0,5
5524,深色主题,1,0,0,4
5525,没有必要一个方法中嵌套一个方法调用，可以将结果放到一个成员变量中初始化即可。,1,1,0,1
5526,建议对已有的方法优化，或者新增新的实现方式后，删除老的代码，不用等后面优化,1,1,0,1
5527,"建议在这里处理文件名：
1. 如果没有filename，则自己根据url生成一个
2. 判断目标文件所在目录中是否有同名文件，如果有则文件名加后缀区分",1,1,0,1
5528,定义成常量,1,1,0,1
5529,可以抽出去吗,1,0,0,4
5530,不对外暴露的方法，建议声明成private,1,1,0,1
5531,toLowerCase和toUpperCase都需要指定Locale对象，建议使用Locale.US,1,1,0,1
5532,为什么没写？？？,0,0,0,7
5533,如果是对接口的实现，请加上overwrite，这样后面保证在删掉接口，或者实现的时候，保证另外一边也删掉,1,1,0,1
5534,最好写一下注释，有助于,1,1,0,1
5535,确定这段代码是有效的吗？,1,0,0,4
5536,前面有相似的实现，新业务开发逻辑如果有变动，可以在之前的逻辑上面修改，或者新增了新的逻辑以后，把老的删了,1,1,0,1
5537,channelId为空的话，下面分支不能进入,1,0,0,4
5538,换下 getCanonicalPath(),1,1,0,1
5539,同shang,1,0,0,4
5540,不建议叫UPLoginBySMSRsp，新模块是IDM，这里也是调idm的接口。另外，最好类名跟返回response保持一致，不需要添加转换,1,1,1,0
5541,可以不用新建，可以用StringUtils.EMPTY_ARRAY,1,1,0,1
5542,这个类建议去除，利用现有类传递参数,1,1,0,1
5543,格式化,1,1,0,1
5544,这个地方意图有可能为空要做空指针判断,1,1,0,1
5545,new File(null),1,1,0,1
5546,加个判空,1,1,0,1
5547,这个是？为什么要创建两次,1,0,0,4
5548,"最少时间差
明确单位",1,1,0,1
5549,hc不可能为空,1,0,0,4
5550,行注释要放在行上,1,1,0,1
5551,方法调用有可能为空，最好做判断空处理,1,1,0,1
5552,修改为Integer类型,1,1,0,1
5553,缺少interface日志,1,0,0,4
5554,日志格式请保持和原来一致，对应上面的查询日志，方便问题定位,1,1,0,1
5555,这个建议取一个有意义的名字,1,1,0,1
5556,catch到异常时，temp是null。这里会crash。建议new下 或加个null判断,1,1,0,1
5557,使用Integer,1,1,0,1
5558,删除多余代码,1,1,0,1
5559,此处日志级别建议提升到info级,1,1,0,1
5560,格式化代码,1,1,0,1
5561,这种最好不要在变量声明的时候读取配置文件，要不然配置文件配错了，报错都不知道咋回事。。。,1,1,0,1
5562,排查一下这个类中还有没有需要判空的地方吧,1,1,0,1
5563,这些参数需不需要判空？,1,0,0,4
5564,意图有可能为空，做空指针判断,1,1,0,1
5565,方法调用有可能为空，最好做好判断,1,1,0,1
5566,不要使用for循环，这样太耗性能了，改成hashmap的key-value映射的方式,1,1,1,0
5567,need to review again,1,0,0,4
5568,去掉无用的代码,1,1,0,1
5569,Exception时，下面操作，直接crash,1,1,0,1
5570,建议尽量不要用*,1,1,0,1
5571,这个类类名命名不够精确，另外，很多check项可以放到validtor里去做。,1,1,1,0
5572,如果为免授权应用，不检测用户激活状态,1,1,1,0
5573,格式,1,1,0,1
5574,魔鬼数字,1,1,0,1
5575,这个地方构建指令请参考其它代码构建指令,1,0,0,4
5576,此处需要返回uid,1,0,0,4
5577,采用行注释,1,1,0,1
5578,逻辑有问题,1,0,0,4
5579,同上,1,0,0,4
5580,这个函数在类删除后，看怎么处理一下,1,0,0,4
5581,这个地方要改login流程中有相应的代码，请尽量复用，减少重复代码,1,1,0,1
5582,validator本身会做check deviceType deviceId packageName等,1,0,0,4
5583,token为敏感信息，不建议答应,1,1,0,1
5584,格式,1,1,0,1
5585,格式,1,1,0,1
5586,建议定义成常量,1,1,0,1
5587,注释格式超过每行最大字数,1,1,0,1
5588,如果不想让类之外的类调用，建议修改成private,1,1,0,1
5589,这个地方去掉吧,1,1,0,1
5590,注释没有修改,1,1,0,1
5591,是否会为空,1,0,0,4
5592,格式化,1,1,0,1
5593,格式要统一,1,1,0,1
5594,注释不清晰，不能明确是给time1加了24小时。,1,1,0,1
5595,临时变量下沉,1,0,0,4
5596,值设置反了吧,1,0,0,4
5597,else换行,1,1,0,1
5598,if  else格式,1,1,0,1
5599,格式,1,1,0,1
5600,可能会引入其他问题,1,0,0,4
5601,为什么数据库的初始化 不要了,1,0,0,4
5602,深色主题适配吗,1,0,0,4
5603,可以精简,1,0,0,4
5604,空方法，且少括号。,1,0,0,4
5605,虽然是阻塞队列，但是线程池可能会抛出exhausted的异常，要注意捕获,1,1,0,1
5606,"这些字串可以放在string.xml中添加 translate = false,避免国际化。A_NAME也看下这样是否有问题。",1,1,1,0
5607,最好加一些防快速点击处理,1,1,0,1
5608,关注下顺序，此处的缓存数据顺序已被打乱，外部不可直接用于展示,1,0,0,4
5609,注释,1,1,0,1
5610,命令可以修改一下带上chromecast的标识，便于理解,1,1,0,1
5611,深色主题还是有问题吧 么有适配吗,1,1,0,1
5612,这里不是supportfragment,1,0,0,4
5613,注释前留一个空行,1,1,0,1
5614,用msg.charAt(0)获取第一个字符，然后比较。这样效率最高。,1,1,0,1
